Mca22940	Mca22940	443.7
Mca23697	Mca23697	161.0
Mca05071	Mca05071	179.9
Mca05071	Mpe01763	147.1
Mca05072	Mca05072	144.1
Mca23834	Mca23834	258.5
Mca23834	Mca27192	258.5
Mca23834	Rpa00722	211.8
Mca23834	Rpa12069	177.6
Mca23834	Mca07500	176.0
Mca23918	Mca23918	530.4
Mca23918	Mca12233	387.1
Mca23918	Mca08518	149.1
Mca24130	Mca24130	228.8
Mca24130	Mpe08529	184.1
Mca24130	Rpa13677	154.8
Mca24190	Mca24190	283.5
Mca24190	Mpe00100	201.8
Mca24190	Mpe00102	193.7
Mca24190	Mpe00104	184.5
Mca24190	Rpa07780	183.3
Mca24190	Mpe02110	124.8
Mca24190	Mpe02509	113.2
Mca24190	Mpe15872	113.2
Mca24190	Rpa03905	111.3
Mca24190	Rpa04443	110.9
Mca24190	Rpa07964	109.4
Mca24190	Rpa08145	107.8
Mca24190	Rpa03902	103.6
Mca24190	Mpe23517	103.2
Mca24190	Rpa04438	96.7
Mca24190	Mpe12235	95.1
Mca00781	Mca00781	222.6
Mca00781	Mpe00058	113.2
Mca00781	Rpa10044	92.4
Mca00788	Mca00788	1208.7
Mca00788	Mpe12551	1172.9
Mca00788	Api06597	1143.6
Mca00788	Rpa02624	1100.5
Mca00788	Rpa02624.t2	1100.5
Mca24498	Mca24498	1191.0
Mca24498	Rpa15992	907.1
Mca24498	Rpa15993	893.3
Mca24498	Mpe10782	496.9
Mca24498	Rpa08667	461.1
Mca24498	Mca00119	456.1
Mca24498	Rpa05545	455.7
Mca24498	Mca03428	452.6
Mca24498	Rpa05543	449.5
Mca24498	Mpe25653	443.0
Mca24498	Rpa09011	441.8
Mca24498	Mca10028	441.8
Mca24498	Rpa09012	439.5
Mca24498	Mca13009	363.2
Mca24498	Rpa15151	297.7
Mca24498	Mca11825	286.6
Mca24498	Mpe20662	285.8
Mca24498	Api04112	258.5
Mca24498	Rpa09347	253.1
Mca24498	Mca21139	228.8
Mca24498	Api14075	227.3
Mca24498	Rpa08058	198.0
Mca00802	Mca00802	193.7
Mca00802	Rpa00490	174.9
Mca05338	Mca05338	565.1
Mca05338	Mpe11728	542.0
Mca05338	Rpa02540	503.4
Mca05372	Mca05372	262.7
Mca05377	Mca05377	170.6
Mca00818	Mca00818	364.4
Mca00818	Rpa06339	272.7
Mca00818	Rpa06340	112.8
Mca24956	Mca24956	475.3
Mca24956	Api02655	312.0
Mca24956	Rpa02224	269.2
Mca24956	Mca04242	146.7
Mca25013	Mca25013	331.6
Mca25013	Mpe01490	97.8
Mca00834	Mca00834	846.3
Mca00119	Mca00119	1293.1
Mca00119	Rpa08667	904.8
Mca00119	Mpe25653	894.0
Mca00119	Mca10028	887.9
Mca00119	Rpa05543	498.8
Mca00119	Mca03428	498.8
Mca00119	Rpa05545	489.2
Mca00119	Mca24498	464.2
Mca00119	Rpa09012	446.0
Mca00119	Rpa09011	443.7
Mca00119	Rpa15993	441.4
Mca00119	Rpa15992	428.3
Mca00119	Mca13009	377.1
Mca00119	Mpe20662	330.5
Mca00119	Mca11825	329.3
Mca00119	Rpa15151	318.9
Mca00119	Rpa09347	240.4
Mca00119	Api04112	236.1
Mca00119	Mca21139	233.8
Mca00119	Api14075	229.2
Mca00119	Mpe10782	221.9
Mca00119	Rpa08058	208.8
Mca25154	Mca25154	178.7
Mca25154	Mpe15561	169.5
Mca25154	Mca27237	167.2
Mca25154	Rpa16748	165.2
Mca25154	Rpa22337	163.3
